"Subscale","Items","n","mean","sd","min","max","skew","skew_2se","kurt","kurt_2se","Reliability","Interpret","min_load","max_load"
"secs_soc","7.00","518.00","70.38","18.97","0.14","100.14","-0.73","-3.42","0.22","0.52","0.82","Good","0.21","0.87"
"secs_eco","5.00","518.00","63.17","15.45","14.40","100.00","-0.11","-0.52","-0.25","-0.59","0.52","Poor","0.01","0.71"
"fam","3.00","518.00","71.99","21.12","0.00","100.00","-0.78","-3.63","0.30","0.70","0.87","Good","0.80","0.89"
"grp","3.00","518.00","72.10","16.78","0.00","100.00","-0.58","-2.72","0.76","1.78","0.74","Acceptable","0.55","0.87"
"rec","3.00","518.00","77.54","14.57","29.67","100.00","-0.43","-1.98","-0.27","-0.63","0.71","Acceptable","0.60","0.80"
"her","3.00","518.00","74.19","18.06","0.00","100.00","-0.82","-3.80","0.65","1.51","0.78","Acceptable","0.66","0.78"
"def","3.00","518.00","65.21","19.41","0.00","100.00","-0.58","-2.72","0.19","0.44","0.71","Acceptable","0.63","0.74"
"fai","3.00","518.00","77.48","17.02","0.00","100.00","-1.14","-5.32","2.22","5.19","0.66","Questionable","0.44","0.80"
"pro","3.00","518.00","62.98","23.34","1.00","101.00","-0.38","-1.78","-0.64","-1.50","0.71","Acceptable","0.52","0.83"
