"secs_soc","secs_eco","fam","grp","rec","her","def","fai","pro"
"1.00***","","","","","","","",""
"0.57***","1.00***","","","","","","",""
"0.24***","0.04","1.00***","","","","","",""
"-0.02","-0.20***","0.49***","1.00***","","","","",""
"0.07**","0.08**","0.27***","0.20***","1.00***","","","",""
"0.06*","0.00","0.37***","0.43***","0.15***","1.00***","","",""
"0.37***","0.25***","0.22***","0.05","0.10***","0.18***","1.00***","",""
"-0.02","-0.02","0.24***","0.27***","0.39***","0.22***","0.16***","1.00***",""
"0.17***","0.25***","0.13***","-0.00","0.37***","0.02","0.22***","0.38***","1.00***"
