"Subscale","Items","n","mean","sd","min","max","skew","skew_2se","kurt","kurt_2se","Reliability","Interpret","min_load","max_load"
"secs_soc","7.00","1337.00","32.96","17.83","0.14","100.14","0.71","5.31","0.62","2.33","0.82","Good","0.55","0.81"
"secs_eco","5.00","1337.00","41.82","15.86","0.20","99.20","0.44","3.26","0.64","2.38","0.66","Questionable","0.47","0.57"
"fam","3.00","1337.00","62.85","18.59","0.00","100.00","-0.55","-4.14","0.42","1.56","0.74","Acceptable","0.57","0.78"
"grp","3.00","1337.00","62.41","19.87","0.00","100.00","-0.55","-4.08","0.28","1.05","0.83","Good","0.77","0.83"
"rec","3.00","1337.00","76.29","13.92","0.00","100.00","-0.57","-4.24","0.69","2.59","0.67","Questionable","0.38","0.90"
"her","3.00","1337.00","52.52","21.29","0.00","100.00","-0.39","-2.95","-0.06","-0.22","0.81","Good","0.69","0.85"
"def","3.00","1337.00","37.38","19.41","0.00","100.00","0.20","1.49","-0.05","-0.19","0.78","Acceptable","0.70","0.78"
"fai","3.00","1337.00","67.58","15.32","0.00","100.00","-0.43","-3.20","0.85","3.17","0.66","Questionable","0.51","0.72"
"pro","3.00","1337.00","75.57","16.72","1.00","100.00","-0.76","-5.65","0.74","2.75","0.80","Acceptable","0.62","0.88"
