"Subscale","Items","n","mean","sd","min","max","skew","skew_2se","kurt","kurt_2se","Reliability","Interpret","min_load","max_load"
"sepa_soc","5.00","552.00","3.61","0.98","1.00","6.00","-0.36","-1.74","-0.20","-0.49","0.79","Acceptable","0.47","0.84"
"sepa_eco","5.00","552.00","3.71","0.96","1.40","5.60","-0.05","-0.26","-0.41","-1.00","0.79","Acceptable","0.62","0.68"
"fam","3.00","552.00","4.91","1.30","1.00","7.00","-0.51","-2.47","0.17","0.42","0.80","Acceptable","0.75","0.76"
"grp","3.00","552.00","4.84","1.05","1.00","7.00","-0.30","-1.43","0.44","1.05","0.71","Acceptable","0.60","0.73"
"rec","3.00","552.00","5.32","1.05","1.67","7.00","-0.37","-1.79","0.04","0.11","0.69","Questionable","0.55","0.73"
"her","3.00","552.00","4.40","1.27","1.00","7.00","0.06","0.29","-0.40","-0.97","0.69","Questionable","0.58","0.81"
"def","3.00","552.00","4.35","1.18","1.00","7.00","-0.26","-1.26","0.17","0.41","0.63","Questionable","0.37","0.77"
"fai","3.00","552.00","5.17","1.30","1.00","7.00","-0.56","-2.68","-0.07","-0.17","0.67","Questionable","0.54","0.79"
"pro","3.00","552.00","5.11","1.14","1.00","7.00","-0.43","-2.05","0.21","0.52","0.50","Unacceptable","0.33","0.69"
